epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,569.305,1.03475,0.72532,0.95275,0.69567,0.72122,0.70808,0.46277,1.19297,0.84902,1.05746,0.000330864,0.000330864,0.000330864
2,1156.9,1.05947,0.76197,0.9602,0.67024,0.75532,0.73064,0.47812,1.17279,0.86761,1.05571,0.000651046,0.000651046,0.000651046
3,1801.62,1.09392,0.77647,0.96834,0.62141,0.75524,0.71073,0.46381,1.18657,0.88479,1.05224,0.000958029,0.000958029,0.000958029
4,2446.9,1.08983,0.80701,0.97619,0.69591,0.6909,0.7233,0.46703,1.19665,0.94863,1.05419,0.0009406,0.0009406,0.0009406
5,3035.22,1.08965,0.81038,0.97856,0.69961,0.69091,0.72855,0.47331,1.17778,0.89547,1.05712,0.0009208,0.0009208,0.0009208
6,3600.92,1.09355,0.80257,0.97406,0.756,0.7067,0.73933,0.48112,1.18057,0.84579,1.04749,0.000901,0.000901,0.000901
7,4170.63,1.0798,0.77148,0.97413,0.74012,0.67335,0.73087,0.48001,1.20959,0.8362,1.06392,0.0008812,0.0008812,0.0008812
8,4726.86,1.08171,0.77163,0.96911,0.73274,0.72094,0.73567,0.48958,1.17436,0.8164,1.05477,0.0008614,0.0008614,0.0008614
9,5334.07,1.07206,0.74721,0.96649,0.66563,0.76195,0.73761,0.48933,1.19155,0.82151,1.0628,0.0008416,0.0008416,0.0008416
10,5946.38,1.07896,0.74575,0.96813,0.64865,0.74097,0.72781,0.47905,1.19047,0.84295,1.06005,0.0008218,0.0008218,0.0008218
11,6585.61,1.06885,0.74458,0.96734,0.71714,0.69107,0.73084,0.47864,1.19023,0.88765,1.05586,0.000802,0.000802,0.000802
12,7195.16,1.05016,0.71512,0.96338,0.69556,0.73899,0.74357,0.48486,1.18577,0.80743,1.07114,0.0007822,0.0007822,0.0007822
13,7818.98,1.05537,0.69905,0.9605,0.66062,0.69778,0.71564,0.4703,1.20176,0.85042,1.06194,0.0007624,0.0007624,0.0007624
14,8437.9,1.05101,0.72184,0.96473,0.67754,0.73313,0.71799,0.47158,1.19565,0.88191,1.06236,0.0007426,0.0007426,0.0007426
15,9085.87,1.026,0.70896,0.9547,0.66824,0.69317,0.72726,0.48586,1.17601,0.8575,1.0618,0.0007228,0.0007228,0.0007228
16,9747.17,1.03179,0.68864,0.95008,0.70493,0.72177,0.73761,0.48853,1.17732,0.79494,1.06043,0.000703,0.000703,0.000703
17,10403.5,1.0264,0.67019,0.94928,0.70053,0.72176,0.72825,0.4707,1.17664,0.80287,1.06186,0.0006832,0.0006832,0.0006832
18,11142.6,1.0271,0.6708,0.95442,0.69073,0.72863,0.72587,0.49086,1.19305,0.83838,1.06457,0.0006634,0.0006634,0.0006634
19,11795.6,1.01702,0.67205,0.94726,0.71903,0.76059,0.73531,0.4806,1.20843,0.8107,1.07638,0.0006436,0.0006436,0.0006436
20,12603.6,1.02261,0.67452,0.94727,0.70762,0.71671,0.72499,0.46618,1.19239,0.83792,1.06352,0.0006238,0.0006238,0.0006238
21,13216.1,1.00559,0.6787,0.94655,0.7048,0.67421,0.71661,0.45804,1.21835,0.89452,1.08442,0.000604,0.000604,0.000604
22,13814.4,1.01131,0.64209,0.94611,0.66069,0.75969,0.72881,0.49358,1.17179,0.76954,1.05492,0.0005842,0.0005842,0.0005842
23,14403.4,0.99391,0.64163,0.94116,0.70684,0.74487,0.74538,0.48999,1.20317,0.79856,1.0719,0.0005644,0.0005644,0.0005644
24,15003.6,1.01986,0.65537,0.95162,0.69457,0.73299,0.75194,0.4937,1.18674,0.79039,1.06308,0.0005446,0.0005446,0.0005446
25,15646.5,0.98768,0.63416,0.93506,0.75926,0.68353,0.75283,0.49458,1.18365,0.78265,1.06385,0.0005248,0.0005248,0.0005248
26,16381.7,0.99294,0.62322,0.9426,0.70096,0.76112,0.76289,0.501,1.19277,0.78055,1.05941,0.000505,0.000505,0.000505
27,17102.5,0.97893,0.60783,0.93464,0.73592,0.69962,0.73895,0.48866,1.18356,0.77793,1.06039,0.0004852,0.0004852,0.0004852
28,17808.4,0.96954,0.62043,0.93152,0.72274,0.71182,0.73771,0.4947,1.16305,0.77849,1.05581,0.0004654,0.0004654,0.0004654
29,18492.3,0.98059,0.60947,0.93138,0.697,0.71854,0.73265,0.47621,1.19806,0.79166,1.0749,0.0004456,0.0004456,0.0004456
30,19233,0.97108,0.60606,0.93108,0.76701,0.71318,0.73294,0.47685,1.21325,0.7947,1.08179,0.0004258,0.0004258,0.0004258
31,20069.9,0.96926,0.60446,0.93182,0.74028,0.75998,0.75331,0.48903,1.18799,0.77136,1.0709,0.000406,0.000406,0.000406
32,20874.8,0.94984,0.58433,0.93116,0.72172,0.76364,0.76202,0.49288,1.20259,0.78266,1.0771,0.0003862,0.0003862,0.0003862
33,21719.2,0.95389,0.58623,0.92807,0.6916,0.74877,0.75479,0.50172,1.18076,0.77891,1.06543,0.0003664,0.0003664,0.0003664
34,22428.1,0.9619,0.58592,0.92684,0.73339,0.73573,0.75818,0.49488,1.20137,0.77838,1.07328,0.0003466,0.0003466,0.0003466
35,23089.6,0.95482,0.58218,0.92226,0.69738,0.76676,0.75909,0.49698,1.20521,0.82496,1.08462,0.0003268,0.0003268,0.0003268
36,23774.3,0.94347,0.57152,0.92251,0.73749,0.75162,0.75336,0.49948,1.18787,0.77737,1.07218,0.000307,0.000307,0.000307
37,24431.2,0.93218,0.56671,0.92136,0.72004,0.75507,0.74998,0.49712,1.20098,0.76323,1.07834,0.0002872,0.0002872,0.0002872
38,28220.4,0.92923,0.55396,0.9187,0.73976,0.67859,0.72475,0.48562,1.19816,0.78544,1.07809,0.0002674,0.0002674,0.0002674
39,28860,0.92,0.5617,0.91471,0.7865,0.68787,0.74429,0.49709,1.21317,0.79457,1.08386,0.0002476,0.0002476,0.0002476
40,29518.1,0.91408,0.54532,0.91749,0.68045,0.75974,0.75132,0.4951,1.18701,0.78087,1.07426,0.0002278,0.0002278,0.0002278
41,30164.7,0.8739,0.49607,0.91253,0.79327,0.69354,0.74416,0.48769,1.18691,0.78159,1.07573,0.000208,0.000208,0.000208
42,30810.8,0.85981,0.47892,0.90529,0.73769,0.71523,0.75561,0.49085,1.20036,0.78248,1.0854,0.0001882,0.0001882,0.0001882
43,31532.3,0.85724,0.48054,0.905,0.75611,0.67784,0.73642,0.48896,1.18722,0.78408,1.07833,0.0001684,0.0001684,0.0001684
44,32857.3,0.85282,0.47036,0.90473,0.7853,0.66995,0.74462,0.48883,1.20905,0.79877,1.08557,0.0001486,0.0001486,0.0001486
45,33539,0.84025,0.45681,0.90009,0.72323,0.69197,0.72484,0.48394,1.1972,0.80504,1.08059,0.0001288,0.0001288,0.0001288
46,34238.2,0.83774,0.46409,0.89826,0.71661,0.73245,0.74367,0.49193,1.19132,0.81128,1.07915,0.000109,0.000109,0.000109
47,35006.7,0.83028,0.45138,0.89654,0.74314,0.71828,0.73348,0.48723,1.19004,0.79281,1.07503,8.92e-05,8.92e-05,8.92e-05
48,35647.6,0.82378,0.44521,0.89163,0.7516,0.7199,0.74369,0.49406,1.19771,0.79767,1.08134,6.94e-05,6.94e-05,6.94e-05
